Time,Raw_EEGS
,
12/30/2018 10:31:50 PM,108
12/30/2018 10:31:50 PM,135
12/30/2018 10:31:50 PM,136
12/30/2018 10:31:50 PM,106
12/30/2018 10:31:50 PM,70
12/30/2018 10:31:50 PM,39
12/30/2018 10:31:50 PM,24
12/30/2018 10:31:50 PM,21
12/30/2018 10:31:50 PM,29
12/30/2018 10:31:50 PM,54
12/30/2018 10:31:50 PM,88
12/30/2018 10:31:50 PM,116
12/30/2018 10:31:50 PM,124
12/30/2018 10:31:50 PM,120
12/30/2018 10:31:50 PM,105
12/30/2018 10:31:50 PM,67
12/30/2018 10:31:50 PM,24
12/30/2018 10:31:50 PM,9
12/30/2018 10:31:50 PM,25
12/30/2018 10:31:50 PM,35
12/30/2018 10:31:50 PM,20
12/30/2018 10:31:50 PM,6
12/30/2018 10:31:50 PM,2
12/30/2018 10:31:50 PM,11
12/30/2018 10:31:50 PM,11
12/30/2018 10:31:50 PM,-2
12/30/2018 10:31:50 PM,-22
12/30/2018 10:31:50 PM,-27
12/30/2018 10:31:50 PM,-10
12/30/2018 10:31:50 PM,4
12/30/2018 10:31:50 PM,19
12/30/2018 10:31:50 PM,26
12/30/2018 10:31:50 PM,21
12/30/2018 10:31:50 PM,36
12/30/2018 10:31:50 PM,39
12/30/2018 10:31:50 PM,21
12/30/2018 10:31:50 PM,-9
12/30/2018 10:31:50 PM,-25
12/30/2018 10:31:50 PM,-20
12/30/2018 10:31:50 PM,-6
12/30/2018 10:31:50 PM,11
12/30/2018 10:31:50 PM,43
12/30/2018 10:31:50 PM,48
12/30/2018 10:31:50 PM,16
12/30/2018 10:31:50 PM,11
12/30/2018 10:31:50 PM,35
12/30/2018 10:31:50 PM,42
12/30/2018 10:31:50 PM,27
12/30/2018 10:31:50 PM,22
12/30/2018 10:31:50 PM,29
12/30/2018 10:31:50 PM,48
12/30/2018 10:31:50 PM,71
12/30/2018 10:31:50 PM,91
12/30/2018 10:31:50 PM,99
12/30/2018 10:31:50 PM,90
12/30/2018 10:31:50 PM,73
12/30/2018 10:31:50 PM,54
12/30/2018 10:31:50 PM,39
12/30/2018 10:31:50 PM,42
12/30/2018 10:31:50 PM,27
12/30/2018 10:31:50 PM,-12
12/30/2018 10:31:50 PM,-43
12/30/2018 10:31:50 PM,-27
12/30/2018 10:31:50 PM,25
12/30/2018 10:31:50 PM,58
12/30/2018 10:31:50 PM,60
12/30/2018 10:31:50 PM,58
12/30/2018 10:31:50 PM,53
12/30/2018 10:31:50 PM,36
12/30/2018 10:31:50 PM,39
12/30/2018 10:31:50 PM,54
12/30/2018 10:31:50 PM,49
12/30/2018 10:31:50 PM,39
12/30/2018 10:31:50 PM,50
12/30/2018 10:31:50 PM,67
12/30/2018 10:31:50 PM,61
12/30/2018 10:31:50 PM,42
12/30/2018 10:31:50 PM,32
12/30/2018 10:31:50 PM,23
12/30/2018 10:31:50 PM,16
12/30/2018 10:31:50 PM,16
12/30/2018 10:31:50 PM,12
12/30/2018 10:31:50 PM,9
12/30/2018 10:31:50 PM,18
12/30/2018 10:31:50 PM,42
12/30/2018 10:31:50 PM,70
12/30/2018 10:31:50 PM,72
12/30/2018 10:31:50 PM,65
12/30/2018 10:31:50 PM,66
12/30/2018 10:31:50 PM,57
12/30/2018 10:31:50 PM,51
12/30/2018 10:31:50 PM,69
12/30/2018 10:31:50 PM,112
12/30/2018 10:31:50 PM,123
12/30/2018 10:31:50 PM,104
12/30/2018 10:31:50 PM,82
12/30/2018 10:31:50 PM,97
12/30/2018 10:31:50 PM,146
12/30/2018 10:31:50 PM,164
12/30/2018 10:31:50 PM,128
12/30/2018 10:31:50 PM,83
12/30/2018 10:31:50 PM,89
12/30/2018 10:31:50 PM,120
12/30/2018 10:31:50 PM,146
12/30/2018 10:31:50 PM,171
12/30/2018 10:31:50 PM,184
12/30/2018 10:31:50 PM,193
12/30/2018 10:31:50 PM,215
12/30/2018 10:31:50 PM,235
12/30/2018 10:31:50 PM,269
12/30/2018 10:31:50 PM,313
12/30/2018 10:31:50 PM,344
12/30/2018 10:31:50 PM,363
12/30/2018 10:31:50 PM,385
12/30/2018 10:31:50 PM,408
12/30/2018 10:31:50 PM,436
12/30/2018 10:31:50 PM,439
12/30/2018 10:31:50 PM,441
12/30/2018 10:31:50 PM,460
12/30/2018 10:31:50 PM,461
12/30/2018 10:31:50 PM,451
12/30/2018 10:31:50 PM,458
12/30/2018 10:31:50 PM,477
12/30/2018 10:31:50 PM,488
12/30/2018 10:31:50 PM,500
12/30/2018 10:31:50 PM,506
12/30/2018 10:31:50 PM,482
12/30/2018 10:31:50 PM,433
12/30/2018 10:31:50 PM,379
12/30/2018 10:31:50 PM,323
12/30/2018 10:31:50 PM,258
12/30/2018 10:31:50 PM,226
12/30/2018 10:31:50 PM,220
12/30/2018 10:31:50 PM,209
12/30/2018 10:31:50 PM,188
12/30/2018 10:31:50 PM,173
12/30/2018 10:31:50 PM,164
12/30/2018 10:31:50 PM,163
12/30/2018 10:31:50 PM,155
12/30/2018 10:31:50 PM,118
12/30/2018 10:31:50 PM,83
12/30/2018 10:31:50 PM,71
12/30/2018 10:31:50 PM,53
12/30/2018 10:31:50 PM,40
12/30/2018 10:31:50 PM,37
12/30/2018 10:31:50 PM,12
12/30/2018 10:31:50 PM,-17
12/30/2018 10:31:50 PM,-37
12/30/2018 10:31:50 PM,-40
12/30/2018 10:31:50 PM,-45
12/30/2018 10:31:50 PM,-83
12/30/2018 10:31:50 PM,-122
12/30/2018 10:31:50 PM,-154
12/30/2018 10:31:50 PM,-177
12/30/2018 10:31:50 PM,-168
12/30/2018 10:31:50 PM,-140
12/30/2018 10:31:50 PM,-139
12/30/2018 10:31:50 PM,-155
12/30/2018 10:31:50 PM,-166
12/30/2018 10:31:50 PM,-179
12/30/2018 10:31:50 PM,-195
12/30/2018 10:31:50 PM,-213
12/30/2018 10:31:50 PM,-232
12/30/2018 10:31:50 PM,-236
12/30/2018 10:31:50 PM,-228
12/30/2018 10:31:50 PM,-234
12/30/2018 10:31:50 PM,-257
12/30/2018 10:31:50 PM,-266
12/30/2018 10:31:50 PM,-248
12/30/2018 10:31:50 PM,-219
12/30/2018 10:31:50 PM,-241
12/30/2018 10:31:50 PM,-297
12/30/2018 10:31:50 PM,-332
12/30/2018 10:31:50 PM,-327
12/30/2018 10:31:50 PM,-306
12/30/2018 10:31:50 PM,-281
12/30/2018 10:31:50 PM,-277
12/30/2018 10:31:50 PM,-294
12/30/2018 10:31:50 PM,-316
12/30/2018 10:31:50 PM,-322
12/30/2018 10:31:50 PM,-284
12/30/2018 10:31:50 PM,-248
12/30/2018 10:31:50 PM,-262
12/30/2018 10:31:50 PM,-301
12/30/2018 10:31:50 PM,-329
12/30/2018 10:31:50 PM,-322
12/30/2018 10:31:50 PM,-295
12/30/2018 10:31:50 PM,-281
12/30/2018 10:31:50 PM,-311
12/30/2018 10:31:50 PM,-353
12/30/2018 10:31:50 PM,-350
12/30/2018 10:31:50 PM,-331
12/30/2018 10:31:50 PM,-318
12/30/2018 10:31:50 PM,-301
12/30/2018 10:31:50 PM,-268
